iter	Passed	Remaining
314	1033	2247
315	1035	2242
316	1038	2237
317	1040	2232
318	1043	2226
319	1045	2221
320	1047	2216
321	1049	2210
322	1052	2205
323	1054	2199
324	1056	2194
325	1058	2189
326	1061	2184
327	1063	2178
328	1065	2173
329	1068	2168
330	1070	2163
331	1072	2158
332	1074	2152
333	1077	2147
334	1079	2142
335	1081	2137
336	1083	2132
337	1086	2127
338	1088	2122
339	1090	2117
340	1093	2113
341	1096	2108
342	1098	2103
343	1101	2100
344	1103	2094
345	1105	2090
346	1108	2085
347	1110	2080
348	1112	2075
349	1114	2070
350	1117	2065
351	1119	2060
352	1121	2055
353	1123	2050
354	1126	2045
355	1128	2041
356	1130	2036
357	1132	2031
358	1134	2026
359	1137	2021
360	1139	2016
361	1141	2012
362	1143	2007
363	1146	2002
364	1148	1998
365	1150	1993
366	1153	1989
367	1155	1984
368	1157	1980
369	1160	1975
370	1162	1970
371	1164	1966
372	1166	1961
373	1169	1956
374	1171	1952
375	1173	1947
376	1175	1943
377	1178	1938
378	1180	1934
379	1183	1930
380	1185	1925
381	1187	1921
382	1189	1916
383	1192	1912
384	1194	1908
385	1197	1904
386	1199	1899
387	1201	1895
388	1203	1890
389	1205	1886
390	1208	1881
391	1210	1877
392	1213	1874
393	1216	1870
394	1218	1866
395	1221	1862
396	1223	1858
397	1225	1854
398	1229	1851
399	1231	1847
400	1234	1843
401	1236	1839
402	1239	1835
403	1241	1831
404	1243	1827
405	1246	1823
406	1248	1819
407	1251	1815
408	1253	1811
409	1255	1807
410	1258	1802
411	1260	1798
412	1262	1794
413	1264	1790
414	1267	1786
415	1269	1781
416	1271	1777
417	1273	1773
418	1276	1769
419	1278	1765
420	1280	1761
421	1282	1756
422	1284	1752
423	1287	1748
424	1289	1744
425	1291	1740
426	1293	1736
427	1296	1732
428	1298	1728
429	1300	1724
430	1303	1720
431	1305	1716
432	1307	1712
433	1309	1707
434	1311	1703
435	1314	1699
436	1316	1695
437	1318	1691
438	1320	1687
439	1323	1684
440	1325	1680
441	1327	1676
442	1329	1672
443	1332	1668
444	1334	1664
445	1336	1660
446	1338	1656
447	1341	1652
448	1343	1648
449	1345	1644
450	1347	1640
451	1349	1636
452	1351	1632
453	1354	1628
454	1356	1624
455	1358	1620
456	1360	1616
457	1362	1612
458	1365	1609
459	1367	1605
460	1370	1602
461	1372	1598
462	1374	1594
463	1377	1590
464	1379	1586
465	1381	1583
466	1383	1579
467	1386	1575
468	1388	1571
469	1390	1568
470	1393	1564
471	1395	1560
472	1397	1557
473	1399	1553
474	1402	1549
475	1404	1545
476	1406	1542
477	1409	1539
478	1412	1536
479	1415	1533
480	1417	1529
481	1420	1526
482	1422	1522
483	1424	1519
484	1427	1515
485	1429	1511
486	1431	1508
487	1433	1504
488	1435	1500
489	1438	1496
490	1440	1492
491	1442	1489
492	1444	1485
493	1446	1481
494	1448	1478
495	1451	1474
496	1453	1471
497	1455	1467
498	1458	1463
499	1460	1460
500	1462	1456
501	1464	1453
502	1466	1449
503	1469	1445
504	1471	1442
505	1473	1438
506	1475	1434
507	1477	1431
508	1480	1427
509	1482	1424
510	1484	1420
511	1486	1416
512	1488	1413
513	1491	1410
514	1493	1406
515	1495	1403
516	1498	1399
517	1500	1395
518	1502	1392
519	1504	1388
520	1506	1385
521	1509	1381
522	1511	1378
523	1513	1374
524	1515	1371
525	1517	1367
526	1519	1364
527	1522	1360
528	1524	1357
529	1526	1353
530	1528	1350
531	1531	1346
532	1533	1343
533	1535	1340
534	1537	1336
535	1540	1333
536	1542	1330
537	1545	1327
538	1547	1323
539	1550	1320
540	1552	1317
541	1555	1314
542	1557	1310
543	1559	1307
544	1561	1303
545	1563	1300
546	1566	1297
547	1568	1293
548	1571	1290
549	1573	1287
550	1575	1284
551	1578	1280
552	1580	1277
553	1582	1274
554	1585	1270
555	1587	1267
556	1589	1264
557	1591	1261
558	1594	1257
559	1596	1254
560	1598	1251
561	1601	1247
562	1603	1244
563	1605	1241
564	1607	1237
565	1610	1234
566	1612	1231
567	1614	1228
568	1617	1224
569	1619	1221
570	1621	1218
571	1624	1215
572	1626	1212
573	1629	1209
574	1631	1205
575	1633	1202
576	1636	1199
577	1638	1196
578	1640	1193
579	1643	1189
580	1645	1186
581	1648	1183
582	1650	1180
583	1652	1177
584	1655	1174
585	1657	1171
586	1659	1167
587	1662	1164
588	1664	1161
589	1666	1158
590	1669	1155
591	1671	1151
592	1673	1148
593	1675	1145
594	1678	1142
595	1680	1139
596	1683	1136
597	1686	1133
598	1688	1130
599	1691	1127
600	1693	1124
601	1696	1121
602	1698	1118
603	1700	1115
604	1702	1111
605	1705	1109
606	1707	1105
607	1710	1102
608	1712	1099
609	1714	1096
610	1716	1092
611	1718	1089
612	1721	1086
613	1723	1083
614	1725	1080
615	1727	1076
616	1729	1073
617	1731	1070
618	1734	1067
619	1736	1064
620	1738	1061
621	1740	1057
622	1742	1054
623	1745	1051
624	1747	1048
625	1749	1045
626	1751	1042
627	1753	1038
628	1756	1035
629	1758	1032
630	1760	1029
631	1763	1026
632	1765	1023
633	1767	1020
634	1769	1017
635	1771	1014
636	1774	1010
637	1776	1007
638	1778	1004
639	1780	1001
640	1782	998
641	1784	995
642	1787	992
643	1789	989
644	1791	986
645	1794	983
646	1796	980
647	1798	976
648	1800	973
649	1803	970
650	1805	967
651	1807	964
652	1809	961
653	1811	958
654	1814	955
655	1816	952
656	1818	949
657	1820	946
658	1822	943
659	1824	940
660	1827	936
661	1829	933
662	1831	930
663	1833	927
664	1835	924
665	1837	921
666	1839	918
667	1842	915
668	1844	912
669	1846	909
670	1848	906
671	1851	903
672	1853	900
673	1855	897
674	1857	894
675	1860	891
676	1862	888
677	1864	885
678	1867	882
679	1869	879
680	1871	876
681	1873	873
682	1875	870
683	1877	867
684	1880	864
685	1882	861
686	1884	858
687	1886	855
688	1888	852
689	1891	849
690	1893	846
691	1895	843
692	1897	840
693	1899	837
694	1902	834
695	1904	831
696	1906	828
697	1908	825
698	1911	822
699	1913	819
700	1915	816
701	1917	814
702	1919	811
703	1922	808
704	1924	805
705	1926	802
706	1929	799
707	1931	796
708	1933	793
709	1936	790
710	1938	788
711	1940	785
712	1943	782
713	1945	779
714	1947	776
715	1949	773
716	1952	770
717	1954	767
718	1956	764
719	1959	761
720	1961	759
721	1963	756
722	1966	753
723	1968	750
724	1970	747
725	1972	744
726	1975	741
727	1977	738
728	1979	735
729	1981	732
730	1983	730
731	1986	727
732	1988	724
733	1990	721
734	1992	718
735	1995	715
736	1997	712
737	1999	709
738	2001	706
739	2004	704
740	2006	701
741	2008	698
742	2010	695
743	2012	692
744	2015	689
745	2018	687
746	2021	684
747	2023	681
748	2025	678
749	2028	676
750	2030	673
751	2032	670
752	2034	667
753	2037	664
754	2039	661
755	2041	658
756	2043	656
757	2046	653
758	2048	650
759	2050	647
760	2053	644
761	2055	641
762	2057	639
763	2059	636
764	2061	633
765	2064	630
766	2066	627
767	2068	624
768	2071	622
769	2073	619
770	2075	616
771	2077	613
772	2079	610
773	2082	607
774	2084	605
775	2086	602
776	2088	599
777	2090	596
778	2093	593
779	2095	590
780	2097	588
781	2099	585
782	2101	582
783	2104	579
784	2106	576
785	2108	574
786	2111	571
787	2113	568
788	2115	565
789	2118	563
790	2120	560
791	2122	557
792	2124	554
793	2127	551
794	2129	549
795	2131	546
796	2133	543
797	2135	540
798	2138	537
799	2140	535
800	2142	532
801	2144	529
802	2146	526
803	2149	523
804	2151	521
805	2153	518
806	2155	515
807	2157	512
808	2160	510
809	2162	507
810	2164	504
811	2166	501
812	2169	498
813	2171	496
814	2173	493
815	2175	490
816	2177	487
817	2180	485
818	2182	482
819	2184	479
820	2187	476
821	2189	474
822	2191	471
823	2193	468
824	2195	465
825	2198	463
826	2200	460
827	2202	457
828	2205	454
829	2207	452
830	2209	449
831	2211	446
832	2214	443
833	2216	441
834	2218	438
835	2220	435
836	2223	432
837	2225	430
838	2227	427
839	2229	424
840	2232	422
841	2234	419
842	2236	416
843	2239	413
844	2241	411
845	2243	408
846	2246	405
847	2248	402
848	2250	400
849	2252	397
850	2254	394
851	2257	392
852	2259	389
853	2261	386
854	2263	383
855	2265	381
856	2268	378
857	2270	375
858	2272	373
859	2274	370
860	2277	367
861	2279	364
862	2281	362
863	2284	359
864	2286	356
865	2288	354
866	2291	351
867	2293	348
868	2295	346
869	2298	343
870	2300	340
871	2303	338
872	2305	335
873	2307	332
874	2310	330
875	2312	327
876	2314	324
877	2316	321
878	2319	319
879	2321	316
880	2323	313
881	2325	311
882	2328	308
883	2330	305
884	2332	303
885	2334	300
886	2336	297
887	2339	295
888	2341	292
889	2343	289
890	2345	286
891	2348	284
892	2350	281
893	2352	278
894	2354	276
895	2356	273
896	2359	270
897	2361	268
898	2363	265
899	2365	262
900	2367	260
901	2370	257
902	2372	254
903	2374	252
904	2376	249
905	2379	246
906	2381	244
907	2383	241
908	2386	238
909	2388	236
910	2390	233
911	2392	230
912	2394	228
913	2397	225
914	2399	222
915	2401	220
916	2403	217
917	2406	214
918	2408	212
919	2410	209
920	2412	206
921	2415	204
922	2417	201
923	2419	199
924	2422	196
925	2424	193
926	2427	191
927	2430	188
928	2432	185
929	2434	183
930	2436	180
931	2439	177
932	2441	175
933	2443	172
934	2445	170
935	2447	167
936	2450	164
937	2452	162
938	2454	159
939	2457	156
940	2459	154
941	2461	151
942	2463	148
943	2466	146
944	2468	143
945	2470	141
946	2472	138
947	2475	135
948	2477	133
949	2479	130
950	2481	127
951	2483	125
952	2486	122
953	2488	119
954	2490	117
955	2493	114
956	2495	112
957	2497	109
958	2499	106
959	2501	104
960	2504	101
961	2506	99
962	2508	96
963	2511	93
964	2513	91
965	2515	88
966	2517	85
967	2519	83
968	2522	80
969	2524	78
970	2526	75
971	2529	72
972	2531	70
973	2533	67
974	2536	65
975	2538	62
976	2540	59
977	2542	57
978	2544	54
979	2547	51
980	2549	49
981	2551	46
982	2553	44
983	2556	41
984	2558	38
985	2560	36
986	2563	33
987	2565	31
988	2567	28
989	2569	25
990	2572	23
991	2574	20
992	2576	18
993	2579	15
994	2581	12
995	2583	10
996	2585	7
997	2587	5
998	2590	2
999	2592	0
